TEMP;TOTAL HMX
K;kJ/mol
470,3;-134,8881871
470,2;-134,9164062
470,1;-134,9447089
470;-134,9731373
469,9;-135,0015657
469,8;-135,0301197
469,7;-135,0587574
469,6;-135,0874788
469,5;-135,116284
469,4;-135,1451729
469,3;-135,1741037
469,2;-135,2031601
469,1;-135,2323421
469;-135,261566
468,9;-135,2909154
468,8;-135,3203486
468,7;-135,3498656
468,6;-135,3795081
468,5;-135,4092344
468,4;-135,4390863
468,3;-135,4690219
468,2;-135,4990831
468,1;-135,5292281
468;-135,5595405
467,9;-135,5899367
467,8;-135,6204166
467,7;-135,651064
467,6;-135,6818369
467,5;-135,7126937
467,4;-135,7437178
467,3;-135,7748676
467,2;-135,806143
467,1;-135,837544
467;-135,8691125
466,9;-135,9008066
466,8;-135,9326681
466,7;-135,9646971
466,6;-135,9968518
466,5;-136,0291739
466,4;-136,0616634
466,3;-136,0943205
466,2;-136,1271869
466,1;-136,1601788
466;-136,1933802
465,9;-136,2267908
465,8;-136,260369
465,7;-136,2941146
465,6;-136,3281114
465,5;-136,3623175
465,4;-136,396733
465,3;-136,4313997
465,2;-136,4662758
465,1;-136,501403
465;-136,5367396
464,9;-136,5723693
464,8;-136,608292
464,7;-136,644466
464,6;-136,6808912
464,5;-136,7176513
464,4;-136,7547044
464,3;-136,7920926
464,2;-136,8297738
464,1;-136,8678318
464;-136,9062247
463,9;-136,9450364
463,8;-136,9841829
463,7;-137,0237901
463,6;-137,063774
463,5;-137,1042185
463,4;-137,1451654
463,3;-137,186531
463,2;-137,2284827
463,1;-137,2709369
463;-137,3139772
462,9;-137,3576036
462,8;-137,4018581
462,7;-137,4467825
462,6;-137,4924605
462,5;-137,5388502
462,4;-137,5860773
462,3;-137,6341836
462,2;-137,6832111
462,1;-137,7332015
462;-137,7843223
461,9;-137,8365736
461,8;-137,8901227
461,7;-137,9450117
461,6;-138,0014497
461,5;-138,0595207
461,4;-138,1194756
461,3;-138,1814821
461,2;-138,2458333
461,1;-138,3127802
461;-138,3827835
460,9;-138,4562618
460,8;-138,5338851
460,7;-138,6164488
460,6;-138,7050834
460,5;-138,8013798
460,4;-138,9077245
460,3;-139,0278856
460,2;-139,1688971
460,1;-139,3458312
460;-139,6083855
459,9;-141,6206871
459,8;-141,8830739
459,7;-142,0728197
459,6;-142,2284849
459,5;-142,3635092
459,4;-142,484424
459,3;-142,5949555
459,2;-142,6974065
459,1;-142,7934517
459;-142,8841378
458,9;-142,9703859
458,8;-143,0528239
458,7;-143,1319545
458,6;-143,2081542
458,5;-143,2818419
458,4;-143,353185
458,3;-143,4224765
458,2;-143,489884
458,1;-143,5556168
458;-143,6198004
457,9;-143,6825187
457,8;-143,7438972
457,7;-143,8041033
457,6;-143,8631372
457,5;-143,9210825
457,4;-143,9780649
457,3;-144,0340843
457,2;-144,0892663
457,1;-144,1435691
457;-144,1971183
456,9;-144,2499138
456,8;-144,3020395
456,7;-144,3534534
456,6;-144,4042811
456,5;-144,4544808
456,4;-144,5040944
456,3;-144,5531637
456,2;-144,6016887
456,1;-144,6497113
456;-144,6972734
455,9;-144,7443749
455,8;-144,7910158
455,7;-144,8372381
455,6;-144,8829998
455,5;-144,9284266
455,4;-144,9734347
455,3;-145,018066
455,2;-145,0623623
455,1;-145,1063237
455;-145,1499083
454,9;-145,1931998
454,8;-145,2361983
454,7;-145,2788618
454,6;-145,3212322
454,5;-145,3633095
454,4;-145,4051357
454,3;-145,4466687
454,2;-145,4879506
454,1;-145,5289812
454;-145,5697606
453,9;-145,6102889
453,8;-145,6505659
453,7;-145,6906335
453,6;-145,7304919
453,5;-145,7701409
453,4;-145,8095387
453,3;-145,848769
453,2;-145,8877481
453,1;-145,9265597
453;-145,9652039
452,9;-146,0036387
452,8;-146,0418642
452,7;-146,0799641
452,6;-146,1178546
452,5;-146,1555358
452,4;-146,1930914
452,3;-146,2304795
452,2;-146,2677002
452,1;-146,3047952
452;-146,3416809
451,9;-146,3784411
451,8;-146,4150337
451,7;-146,4515007
451,6;-146,4878421
451,5;-146,5240161
451,4;-146,5600644
451,3;-146,5959453
451,2;-146,6317425
451,1;-146,6673721
451;-146,7028762
450,9;-146,7382546
450,8;-146,7735494
450,7;-146,8086766
450,6;-146,8436783
450,5;-146,8785962
450,4;-146,9133885
450,3;-146,9480552
450,2;-146,9826382
450,1;-147,0170537
450;-147,0514273
449,9;-147,0856753
449,8;-147,1197977
449,7;-147,1537945
449,6;-147,1877495
449,5;-147,2215788
449,4;-147,2552826
449,3;-147,2889444
449,2;-147,3224807
449,1;-147,3558914
449;-147,3892602
448,9;-147,4225034
448,8;-147,4556628
448,7;-147,4887385
448,6;-147,5217305
448,5;-147,5546388
448,4;-147,5874633
448,3;-147,6201622
448,2;-147,6528192
448,1;-147,6853925
448;-147,7178821
447,9;-147,7502879
447,8;-147,78261
447,7;-147,8148484
447,6;-147,8470449
447,5;-147,8791158
447,4;-147,9111448
447,3;-147,9430901
447,2;-147,9749516
447,1;-148,0067713
447;-148,0385073
446,9;-148,0701595
446,8;-148,1017279
446,7;-148,1332545
446,6;-148,1646974
446,5;-148,1960984
446,4;-148,2274157
446,3;-148,2586492
446,2;-148,2898409
446,1;-148,3209488
446;-148,3520148
445,9;-148,3829972
445,8;-148,4139376
445,7;-148,4448362
445,6;-148,475651
445,5;-148,5063822
445,4;-148,5370714
445,3;-148,5677188
445,2;-148,5982824
445,1;-148,6288042
445;-148,6592422
444,9;-148,6896384
444,8;-148,7199927
444,7;-148,7503051
444,6;-148,7805338
444,5;-148,8107206
444,4;-148,8408237
444,3;-148,8709268
444,2;-148,9009462
444,1;-148,9308818
444;-148,9608174
443,9;-148,9906693
443,8;-149,0204793
443,7;-149,0502475
443,6;-149,0799738
443,5;-149,1096582
443,4;-149,1392588
443,3;-149,1688176
443,2;-149,1983346
443,1;-149,2278097
443;-149,2572429
442,9;-149,2866342
442,8;-149,3159418
442,7;-149,3452494
442,6;-149,3744733
442,5;-149,4036971
442,4;-149,4328373
442,3;-149,4619355
442,2;-149,4909919
442,1;-149,5200483
442;-149,549021
441,9;-149,5779517
441,8;-149,6068407
441,7;-149,6356877
441,6;-149,6644929
441,5;-149,6932562
441,4;-149,7219777
441,3;-149,7506572
441,2;-149,779295
441,1;-149,8079327
441;-149,8364866
440,9;-149,8649988
440,8;-149,893469
440,7;-149,9219392
440,6;-149,9503257
440,5;-149,9787122
440,4;-150,0070569
440,3;-150,0353596
440,2;-150,0635787
440,1;-150,0918396
440;-150,1200167
439,9;-150,148152
439,8;-150,1762455
439,7;-150,2043389
439,6;-150,2323905
439,5;-150,2603583
439,4;-150,2883261
439,3;-150,3162939
439,2;-150,344178
439,1;-150,3720202
439;-150,3998625
438,9;-150,4276628
438,8;-150,4554213
438,7;-150,4831379
438,6;-150,5108545
438,5;-150,5385293
438,4;-150,5661203
438,3;-150,5937532
438,2;-150,6213023
438,1;-150,6488514
438;-150,6763169
437,9;-150,7037823
437,8;-150,7312477
437,7;-150,7586293
437,6;-150,786011
437,5;-150,8133508
437,4;-150,8406906
437,3;-150,8679467
437,2;-150,8952028
437,1;-150,922417
437;-150,9496312
436,9;-150,9768035
436,8;-151,003934
436,7;-151,0310226
436,6;-151,0581111
436,5;-151,0851579
436,4;-151,1121627
436,3;-151,1391676
436,2;-151,1660887
436,1;-151,1930517
436;-151,219931
435,9;-151,2468102
435,8;-151,2736476
435,7;-151,300485
435,6;-151,3272805
435,5;-151,3540342
435,4;-151,3807878
435,3;-151,4074996
435,2;-151,4341695
435,1;-151,4608394
435;-151,4874675
434,9;-151,5140537
434,8;-151,5406398
434,7;-151,5671842
434,6;-151,5937285
434,5;-151,6202309
434,4;-151,6466915
434,3;-151,6731521
434,2;-151,6995708
434,1;-151,7259895
434;-151,7523663
433,9;-151,7787013
433,8;-151,8050363
433,7;-151,8313294
433,6;-151,8576225
433,5;-151,8838318
433,4;-151,9100831
433,3;-151,9362924
433,2;-151,9624599
433,1;-151,9886274
433;-152,0147531
432,9;-152,0408368
432,8;-152,0669206
432,7;-152,0930044
432,6;-152,1190463
432,5;-152,1450463
