TEMP;TOTAL HMX
K;kJ/mol
419,6;-149,9818942
419,7;-149,9586156
419,8;-149,9353789
419,9;-149,9121003
420;-149,8888635
420,1;-149,865543
420,2;-149,8422644
420,3;-149,818944
420,4;-149,7956235
420,5;-149,772303
420,6;-149,7489825
420,7;-149,7256202
420,8;-149,7022578
420,9;-149,6788955
421;-149,6554913
421,1;-149,6320871
421,2;-149,6086829
421,3;-149,5852786
421,4;-149,5618326
421,5;-149,5383865
421,6;-149,5149404
421,7;-149,4914943
421,8;-149,4680064
421,9;-149,4445184
422;-149,4210305
422,1;-149,3975007
422,2;-149,3739708
422,3;-149,350441
422,4;-149,3269112
422,5;-149,3033395
422,6;-149,2797678
422,7;-149,2561962
422,8;-149,2325826
422,9;-149,2090109
423;-149,1853555
423,1;-149,161742
423,2;-149,1380865
423,3;-149,1144311
423,4;-149,0907757
423,5;-149,0671203
423,6;-149,043423
423,7;-149,0197257
423,8;-148,9959865
423,9;-148,9722893
424;-148,9485501
424,1;-148,9247691
424,2;-148,9010299
424,3;-148,8772489
424,4;-148,8534679
424,5;-148,829645
424,6;-148,805864
424,7;-148,7820411
424,8;-148,7581763
424,9;-148,7343534
425;-148,7104887
425,1;-148,686582
425,2;-148,6627173
425,3;-148,6388106
425,4;-148,614904
425,5;-148,5909555
425,6;-148,5670489
425,7;-148,5431004
425,8;-148,51911
425,9;-148,4951615
426;-148,4711712
426,1;-148,4471389
426,2;-148,4231486
426,3;-148,3991163
426,4;-148,3750841
426,5;-148,35101
426,6;-148,3269359
426,7;-148,3028618
426,8;-148,2787877
426,9;-148,2546717
427;-148,2305558
427,1;-148,2063979
427,2;-148,1822401
427,3;-148,1580823
427,4;-148,1339244
427,5;-148,1097247
427,6;-148,085525
427,7;-148,0613253
427,8;-148,0370837
427,9;-148,0128422
428;-147,9886006
428,1;-147,9643172
428,2;-147,9400337
428,3;-147,9157503
428,4;-147,891425
428,5;-147,8670997
428,6;-147,8427744
428,7;-147,8184072
428,8;-147,79404
428,9;-147,7696728
429;-147,7452638
429,1;-147,7208547
429,2;-147,6964457
429,3;-147,6719948
429,4;-147,6475439
429,5;-147,623093
429,6;-147,5986002
429,7;-147,5741074
429,8;-147,5496146
429,9;-147,52508
430;-147,5005453
430,1;-147,4759688
430,2;-147,4514342
430,3;-147,4268158
430,4;-147,4022393
430,5;-147,3776209
430,6;-147,3530025
430,7;-147,3283422
430,8;-147,303682
430,9;-147,2790217
431;-147,2543615
431,1;-147,2296594
431,2;-147,2049154
431,3;-147,1801714
431,4;-147,1554274
431,5;-147,1306834
431,6;-147,1058976
431,7;-147,0811117
431,8;-147,056284
431,9;-147,0314562
432;-147,0066285
432,1;-146,9817589
432,2;-146,9568893
432,3;-146,9320197
432,4;-146,9071083
432,5;-146,8821968
432,6;-146,8572435
432,7;-146,8322902
432,8;-146,8073368
432,9;-146,7823416
433;-146,7573465
433,1;-146,7323513
433,2;-146,7073142
433,3;-146,6822771
433,4;-146,6571982
433,5;-146,6321193
433,6;-146,6069985
433,7;-146,5819195
433,8;-146,5567569
433,9;-146,5316361
434;-146,5064734
434,1;-146,4812689
434,2;-146,4560643
434,3;-146,4308598
434,4;-146,4056134
434,5;-146,380367
434,6;-146,3551206
434,7;-146,3298323
434,8;-146,304544
